# step param_0 param_1 param_2 param_3 param_4 param_5 param_6 param_7 param_8 param_9 param_10 param_11 param_12 param_13 param_14 param_15 param_16 param_17 param_18 param_19 param_20 param_21 param_22 param_23 param_24 param_25 loglike
23 1.579055e-01 2.296574e-02 6.949082e-01 1.134582e-01 9.998130e-01 2.852794e+00 -1.571343e-03 -1.236756e+00 -3.911319e-02 9.983267e-01 3.002414e+00 -1.435780e-04 2.119671e+02 5.046699e+01 1.167963e+02 9.229104e+00 4.835003e+01 9.356429e+00 5.007027e-01 5.148603e-01 5.250631e-01 1.001810e+00 1.002740e+00 5.036179e-01 4.664876e+00 -1.879754e-01 -7.692486e+03
24 1.579055e-01 2.296574e-02 6.949082e-01 1.134582e-01 9.998130e-01 2.852794e+00 -1.571343e-03 -1.236756e+00 -3.911319e-02 9.983267e-01 3.002414e+00 -1.435780e-04 2.119671e+02 5.046699e+01 1.167963e+02 9.229104e+00 4.835003e+01 9.356429e+00 5.007027e-01 5.148603e-01 5.250631e-01 1.001810e+00 1.002740e+00 5.036179e-01 4.664876e+00 -1.879754e-01 -7.692486e+03
25 1.579055e-01 2.296574e-02 6.949082e-01 1.134582e-01 9.998130e-01 2.852794e+00 -1.571343e-03 -1.236756e+00 -3.911319e-02 9.983267e-01 3.002414e+00 -1.435780e-04 2.119671e+02 5.046699e+01 1.167963e+02 9.229104e+00 4.835003e+01 9.356429e+00 5.007027e-01 5.148603e-01 5.250631e-01 1.001810e+00 1.002740e+00 5.036179e-01 4.664876e+00 -1.879754e-01 -7.692486e+03
26 1.580257e-01 2.294597e-02 6.937123e-01 1.151462e-01 9.987020e-01 2.852373e+00 -1.256630e-03 -1.234399e+00 -3.622807e-02 9.996425e-01 3.002403e+00 -2.508519e-04 2.104495e+02 5.104031e+01 1.176838e+02 9.414962e+00 4.708104e+01 9.255921e+00 5.012317e-01 5.153982e-01 5.126713e-01 1.001492e+00 1.002948e+00 5.049682e-01 4.727066e+00 -1.556147e-01 -7.651510e+03
27 1.569097e-01 2.293004e-02 6.947549e-01 1.150055e-01 9.985809e-01 2.852129e+00 -1.907632e-03 -1.237767e+00 -3.526754e-02 1.003340e+00 2.995773e+00 -1.637341e-04 2.120894e+02 5.084355e+01 1.198067e+02 9.128678e+00 4.606959e+01 9.840729e+00 4.984855e-01 5.091063e-01 5.141267e-01 1.001199e+00 1.002663e+00 5.065493e-01 4.632013e+00 -1.206963e-01 -7.567183e+03
28 1.569097e-01 2.293004e-02 6.947549e-01 1.150055e-01 9.985809e-01 2.852129e+00 -1.907632e-03 -1.237767e+00 -3.526754e-02 1.003340e+00 2.995773e+00 -1.637341e-04 2.120894e+02 5.084355e+01 1.198067e+02 9.128678e+00 4.606959e+01 9.840729e+00 4.984855e-01 5.091063e-01 5.141267e-01 1.001199e+00 1.002663e+00 5.065493e-01 4.632013e+00 -1.206963e-01 -7.567183e+03
29 1.569097e-01 2.293004e-02 6.947549e-01 1.150055e-01 9.985809e-01 2.852129e+00 -1.907632e-03 -1.237767e+00 -3.526754e-02 1.003340e+00 2.995773e+00 -1.637341e-04 2.120894e+02 5.084355e+01 1.198067e+02 9.128678e+00 4.606959e+01 9.840729e+00 4.984855e-01 5.091063e-01 5.141267e-01 1.001199e+00 1.002663e+00 5.065493e-01 4.632013e+00 -1.206963e-01 -7.567183e+03
30 1.569097e-01 2.293004e-02 6.947549e-01 1.150055e-01 9.985809e-01 2.852129e+00 -1.907632e-03 -1.237767e+00 -3.526754e-02 1.003340e+00 2.995773e+00 -1.637341e-04 2.120894e+02 5.084355e+01 1.198067e+02 9.128678e+00 4.606959e+01 9.840729e+00 4.984855e-01 5.091063e-01 5.141267e-01 1.001199e+00 1.002663e+00 5.065493e-01 4.632013e+00 -1.206963e-01 -7.567183e+03
31 1.556985e-01 2.295245e-02 6.950351e-01 1.159806e-01 9.979904e-01 2.851727e+00 -1.436785e-03 -1.235061e+00 -3.290246e-02 1.005183e+00 3.003459e+00 -4.265765e-04 2.116657e+02 5.169902e+01 1.246878e+02 9.130548e+00 4.440297e+01 9.987705e+00 4.969093e-01 5.030717e-01 5.066830e-01 1.001025e+00 1.003339e+00 5.184110e-01 4.747652e+00 -8.232873e-02 -7.433933e+03
32 1.556985e-01 2.295245e-02 6.950351e-01 1.159806e-01 9.979904e-01 2.851727e+00 -1.436785e-03 -1.235061e+00 -3.290246e-02 1.005183e+00 3.003459e+00 -4.265765e-04 2.116657e+02 5.169902e+01 1.246878e+02 9.130548e+00 4.440297e+01 9.987705e+00 4.969093e-01 5.030717e-01 5.066830e-01 1.001025e+00 1.003339e+00 5.184110e-01 4.747652e+00 -8.232873e-02 -7.433933e+03
